,HDSI_author,year,category_for
87,Frank Wuerthwein,2018,"['08 Information and Computing Sciences', '0803 Computer Software']"
88,Frank Wuerthwein,2019,"['08 Information and Computing Sciences', '0803 Computer Software']"
89,Frank Wuerthwein,2020,"['0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '0803 Computer Software', '0307 Theoretical and Computational Chemistry', '0302 Inorganic Chemistry', '0806 Information Systems', '08 Information and Computing Sciences']"
90,Frank Wuerthwein,2021,"['08 Information and Computing Sciences', '0803 Computer Software']"
91,Gal Mishne,2016,"['0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '09 Engineering', '10 Technology', '08 Information and Computing Sciences', '1005 Communications Technologies']"
92,Gal Mishne,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '11 Medical and Health Sciences', '0104 Statistics', '1112 Oncology and Carcinogenesis', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
93,Gal Mishne,2018,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '08 Information and Computing Sciences', '0101 Pure Mathematics']"
94,Gal Mishne,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1109 Neurosciences', '11 Medical and Health Sciences', '0102 Applied Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
95,Gal Mishne,2020,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '1701 Psychology', '0102 Applied Mathematics', '09 Engineering', '0104 Statistics', '0806 Information Systems', '08 Information and Computing Sciences']"
96,Gal Mishne,2021,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1109 Neurosciences', '0801 Artificial Intelligence and Image Processing', '1701 Psychology', '0102 Applied Mathematics', '0104 Statistics', '0804 Data Format', '1117 Public Health and Health Services', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '11 Medical and Health Sciences']"
97,George Sugihara,2016,"['0801 Artificial Intelligence and Image Processing', '0602 Ecology', '05 Environmental Sciences', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '0502 Environmental Science and Management', '0704 Fisheries Sciences', '1102 Cardiorespiratory Medicine and Haematology', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
98,George Sugihara,2017,"['0602 Ecology', '06 Biological Sciences', '0608 Zoology', '04 Earth Sciences', '0405 Oceanography']"
99,George Sugihara,2018,"['01 Mathematical Sciences', '0602 Ecology', '0104 Statistics', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '0704 Fisheries Sciences', '04 Earth Sciences', '0405 Oceanography']"
100,George Sugihara,2019,"['0801 Artificial Intelligence and Image Processing', '0602 Ecology', '11 Medical and Health Sciences', '0603 Evolutionary Biology', '05 Environmental Sciences', '06 Biological Sciences', '0502 Environmental Science and Management', '1117 Public Health and Health Services', '14 Economics', '08 Information and Computing Sciences', '1403 Econometrics']"
101,George Sugihara,2020,"['0602 Ecology', '0603 Evolutionary Biology', '1109 Neurosciences', '1403 Econometrics', '05 Environmental Sciences', '0501 Ecological Applications', '06 Biological Sciences', '0502 Environmental Science and Management', '0806 Information Systems', '14 Economics', '08 Information and Computing Sciences', '04 Earth Sciences', '11 Medical and Health Sciences', '0405 Oceanography']"
102,George Sugihara,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0602 Ecology', '0102 Applied Mathematics', '0104 Statistics', '06 Biological Sciences', '07 Agricultural and Veterinary Sciences', '0704 Fisheries Sciences', '0806 Information Systems', '14 Economics', '08 Information and Computing Sciences', '1403 Econometrics', '0101 Pure Mathematics']"
103,Henrik Christensen,2016,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1701 Psychology', '0906 Electrical and Electronic Engineering', '0102 Applied Mathematics', '09 Engineering', '0804 Data Format', '0104 Statistics', '1702 Cognitive Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
104,Henrik Christensen,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0803 Computer Software', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
105,Henrik Christensen,2018,"['0801 Artificial Intelligence and Image Processing', '0803 Computer Software', '0804 Data Format', '0806 Information Systems', '08 Information and Computing Sciences']"
106,Henrik Christensen,2019,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '1701 Psychology', '09 Engineering', '0804 Data Format', '0803 Computer Software', '0806 Information Systems', '0913 Mechanical Engineering', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
107,Henrik Christensen,2020,"['0801 Artificial Intelligence and Image Processing', '1117 Public Health and Health Services', '0806 Information Systems', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
108,Henrik Christensen,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
109,Ilkay Altintas,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0909 Geomatic Engineering', '0102 Applied Mathematics', '09 Engineering', '0803 Computer Software', '10 Technology', '0806 Information Systems', '08 Information and Computing Sciences']"
110,Ilkay Altintas,2017,"['0801 Artificial Intelligence and Image Processing', '03 Chemical Sciences', '02 Physical Sciences', '06 Biological Sciences', '0803 Computer Software', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences']"
111,Ilkay Altintas,2018,"['0801 Artificial Intelligence and Image Processing', '0909 Geomatic Engineering', '09 Engineering', '0803 Computer Software', '1102 Cardiorespiratory Medicine and Haematology', '0806 Information Systems', '08 Information and Computing Sciences', '11 Medical and Health Sciences']"
112,Ilkay Altintas,2019,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0909 Geomatic Engineering', '1701 Psychology', '09 Engineering', '06 Biological Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
113,Ilkay Altintas,2020,"['0801 Artificial Intelligence and Image Processing', '0602 Ecology', '0803 Computer Software', '06 Biological Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
114,Ilkay Altintas,2021,"['0801 Artificial Intelligence and Image Processing', '02 Physical Sciences', '06 Biological Sciences', '0803 Computer Software', '0401 Atmospheric Sciences', '0601 Biochemistry and Cell Biology', '1112 Oncology and Carcinogenesis', '0806 Information Systems', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '04 Earth Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences', '0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics']"
115,Jelena Bradic,2016,"['08 Information and Computing Sciences', '0104 Statistics', '01 Mathematical Sciences', '15 Commerce, Management, Tourism and Services']"
116,Jelena Bradic,2017,"['01 Mathematical Sciences', '0104 Statistics']"
117,Jelena Bradic,2018,"['01 Mathematical Sciences', '16 Studies in Human Society', '0102 Applied Mathematics', '0104 Statistics', '1603 Demography', '14 Economics', '1403 Econometrics']"
118,Jelena Bradic,2019,"['01 Mathematical Sciences', '0104 Statistics']"
119,Jelena Bradic,2020,"['16 Studies in Human Society', '01 Mathematical Sciences', '0104 Statistics', '1603 Demography', '14 Economics', '1403 Econometrics']"
120,Jelena Bradic,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '16 Studies in Human Society', '0104 Statistics', '1603 Demography', '14 Economics', '08 Information and Computing Sciences', '1403 Econometrics']"
121,Jingbo Shang,2016,"['0801 Artificial Intelligence and Image Processing', '1112 Oncology and Carcinogenesis', '0802 Computation Theory and Mathematics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
122,Jingbo Shang,2017,"['0801 Artificial Intelligence and Image Processing', '06 Biological Sciences', '0601 Biochemistry and Cell Biology', '0806 Information Systems', '20 Language, Communication and Culture', '08 Information and Computing Sciences', '2004 Linguistics']"
123,Jingbo Shang,2018,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
124,Jingbo Shang,2019,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
125,Jingbo Shang,2020,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
126,Jingbo Shang,2021,"['0801 Artificial Intelligence and Image Processing', '08 Information and Computing Sciences', '0806 Information Systems']"
127,Lucila Ohno-Machado,2016,"['0801 Artificial Intelligence and Image Processing', '09 Engineering', '0604 Genetics', '06 Biological Sciences', '0804 Data Format', '1112 Oncology and Carcinogenesis', '1107 Immunology', '0806 Information Systems', '1117 Public Health and Health Services', '1101 Medical Biochemistry and Metabolomics', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
128,Lucila Ohno-Machado,2017,"['0801 Artificial Intelligence and Image Processing', '09 Engineering', '06 Biological Sciences', '0604 Genetics', '0804 Data Format', '0807 Library and Information Studies', '1117 Public Health and Health Services', '0806 Information Systems', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
